path,exists,size_bytes,sha256,evidence_label,paper_use,notes
results/paper_stage2/rml2016a/cnn1d/seed_3407/predictions_test.csv,true,23301995,1744ca9a19326c20825a6044ecd83004f8512371b08cad470b96301f221bd360,PROJECT_SUPPORTED,paired_statistics_source_large_hash_or_archive,Stage 5A artifact for cnn1d/seed_3407; large file; keep failed MCLDNN seeds
results/paper_stage2/rml2016a/cnn1d/seed_3407/confusion_overall.csv,true,618,a1e6b6cdadb361af7ef456bd02b374daece456de06097d6e35a66f499abe6717,PROJECT_SUPPORTED,appendix_confusion_source,Stage 5A artifact for cnn1d/seed_3407; keep failed MCLDNN seeds
results/paper_stage2/rml2016a/cnn1d/seed_3407/confusion_low_snr.csv,true,593,4c2ac6efcdeb3ce76787d39a6b2e8f0d800bb8c8bfb65fc5c731117abf1c974b,PROJECT_SUPPORTED,low_snr_confusion_source,Stage 5A artifact for cnn1d/seed_3407; keep failed MCLDNN seeds
results/paper_stage2/rml2016a/cnn1d/seed_3407/complexity.json,true,551,2ff228a4e8e2b60bd2e67549503d48ed28dbc358bc5dcb6e52b0e1225e945c84,PROJECT_SUPPORTED,complexity_source,Stage 5A artifact for cnn1d/seed_3407; keep failed MCLDNN seeds
results/paper_stage2/rml2016a/cnn1d/seed_3407/latency.json,true,1433,2049476a065c98663e7e7c678a30a1cbf9beedd791fe5e07705fe33779fae810,CONTROLLED_LATENCY,controlled_cuda_latency_source,Stage 5A artifact for cnn1d/seed_3407; keep failed MCLDNN seeds
results/paper_stage2/rml2016a/cnn1d/seed_3407/training_summary.json,true,346,679ae9036976689306708c54117f9594fb33cf142d7206b12026e4936936883c,PROJECT_SUPPORTED,training_audit_source,Stage 5A artifact for cnn1d/seed_3407; keep failed MCLDNN seeds
results/paper_stage2/rml2016a/resnet1d/seed_42/config_resolved.yaml,true,1011,a821315ca76696e8bafb1b5f855596643bbf382e402328287eb8296cb5ca0fec,PROJECT_SUPPORTED,run_reproducibility,Stage 5A artifact for resnet1d/seed_42; keep failed MCLDNN seeds
results/paper_stage2/rml2016a/resnet1d/seed_42/metrics_test.json,true,497,afaf53d75eeebeabe894c960f5c761599f70cc57f9258368e9ee8ef121360af0,PROJECT_SUPPORTED,main_metric_source,Stage 5A artifact for resnet1d/seed_42; keep failed MCLDNN seeds
results/paper_stage2/rml2016a/resnet1d/seed_42/metrics_per_snr.csv,true,2436,ead9bd2f6bc84a36c94cc77abef8f2ab73ecabd1fe4cbaa25699d8e50ad68698,PROJECT_SUPPORTED,per_snr_curve_table_source,Stage 5A artifact for resnet1d/seed_42; keep failed MCLDNN seeds
results/paper_stage2/rml2016a/resnet1d/seed_42/metrics_per_class.csv,true,889,c8fbf7e0963a5b94f0205fa51f854a525fc00d2b36a2e888c25541a3fc82afd1,PROJECT_SUPPORTED,appendix_per_class_source,Stage 5A artifact for resnet1d/seed_42; keep failed MCLDNN seeds
results/paper_stage2/rml2016a/resnet1d/seed_42/predictions_test.csv,true,23367303,2471351cf960e39275122ac98bd218d6a7561c211545642aedbb620d196cafe8,PROJECT_SUPPORTED,paired_statistics_source_large_hash_or_archive,Stage 5A artifact for resnet1d/seed_42; large file; keep failed MCLDNN seeds
results/paper_stage2/rml2016a/resnet1d/seed_42/confusion_overall.csv,true,610,d7edf8317f547569d47d19af91357fe5dea880201658744b146a9ad505dbaf25,PROJECT_SUPPORTED,appendix_confusion_source,Stage 5A artifact for resnet1d/seed_42; keep failed MCLDNN seeds
results/paper_stage2/rml2016a/resnet1d/seed_42/confusion_low_snr.csv,true,582,0a0b4db5d4a3853e0902b78f1c208269902198cde5bd95c32fb06bd8b6f92411,PROJECT_SUPPORTED,low_snr_confusion_source,Stage 5A artifact for resnet1d/seed_42; keep failed MCLDNN seeds
